,date,team_1,team_2,t1_avg_r,t1_avg_acs,t1_avg_k,t1_avg_d,t1_avg_a,t1_avg_kast,t1_avg_adr,t1_avg_hs,t1_avg_fk,t1_avg_fd,t1_top_k_diff,t1_top_fk_diff,t1_bot_k_diff,t1_bot_fk_diff,t2_avg_r,t2_avg_acs,t2_avg_k,t2_avg_d,t2_avg_a,t2_avg_kast,t2_avg_adr,t2_avg_hs,t2_avg_fk,t2_avg_fd,t2_top_k_diff,t2_top_fk_diff,t2_bot_k_diff,t2_bot_fk_diff,winner,t1_avg_r_rolling,t1_avg_acs_rolling,t1_avg_k_rolling,t1_avg_d_rolling,t1_avg_a_rolling,t1_avg_kast_rolling,t1_avg_adr_rolling,t1_avg_hs_rolling,t1_avg_fk_rolling,t1_avg_fd_rolling,t1_top_k_diff_rolling,t1_top_fk_diff_rolling,t1_bot_k_diff_rolling,t1_bot_fk_diff_rolling,t2_avg_r_rolling,t2_avg_acs_rolling,t2_avg_k_rolling,t2_avg_d_rolling,t2_avg_a_rolling,t2_avg_kast_rolling,t2_avg_adr_rolling,t2_avg_hs_rolling,t2_avg_fk_rolling,t2_avg_fd_rolling,t2_top_k_diff_rolling,t2_top_fk_diff_rolling,t2_bot_k_diff_rolling,t2_bot_fk_diff_rolling,opp_code
20,2024-04-07,100 Thieves,Sentinels,0.858,177.4,25.4,31.2,9.6,67.2,120.4,26.6,4.4,4.0,10.0,6.0,-22.0,-3.0,1.182,213.4,31.2,25.4,15.8,74.8,139.6,29.2,4.0,4.4,11.0,1.0,1.0,-2.0,1,0.945,192.1,40.3,43.7,14.799999999999999,70.9,125.9,25.3,5.6,6.4,5.5,1.5,-11.5,-3.5,1.071,206.2,43.6,40.3,21.799999999999997,73.3,138.6,26.5,6.4,5.6,15.5,5.5,-5.0,-3.0,13
21,2024-04-13,100 Thieves,G2 Esports,1.122,201.6,30.4,27.0,13.6,71.6,134.0,24.8,4.6,4.0,10.0,2.0,-6.0,-2.0,0.916,187.2,27.0,30.6,15.0,71.4,122.0,25.2,4.0,4.6,2.0,3.0,-8.0,-6.0,0,0.869,178.8,30.999999999999996,37.4,13.0,68.1,120.4,26.3,4.800000000000001,5.2,6.0,4.0,-17.5,-4.0,1.1689999999999998,213.5,37.4,30.999999999999996,18.699999999999996,75.3,142.1,27.9,5.2,4.800000000000001,10.0,2.5,2.0,-2.0,5
22,2024-04-22,100 Thieves,Cloud9,1.276,231.6,33.0,21.4,14.6,85.2,151.8,24.8,4.4,3.4,17.0,5.0,-1.0,-2.0,0.762,166.2,21.4,33.0,10.6,60.4,114.2,24.4,3.4,4.4,-2.0,2.0,-17.0,-3.0,0,0.9900000000000001,189.5,27.899999999999995,29.1,11.6,69.4,127.20000000000002,25.700000000000003,4.5,4.0,10.0,4.0,-14.0,-2.5,1.049,200.3,29.1,27.999999999999996,15.399999999999997,73.1,130.8,27.2,4.0,4.5,6.5,2.0,-3.5,-4.0,1
23,2024-04-29,100 Thieves,KRÜ Esports,0.9560000000000001,197.6,44.6,45.8,15.4,72.4,128.8,28.0,6.0,7.0,12.0,4.0,-18.0,-5.0,1.052,202.2,45.8,44.6,20.4,72.2,134.2,28.2,7.0,6.0,8.0,6.0,-6.0,-3.0,1,1.1990000000000003,216.6,31.699999999999996,24.2,14.1,78.4,142.90000000000003,24.8,4.5,3.7,13.5,3.5,-3.5,-2.0,0.839,176.7,24.2,31.799999999999997,12.799999999999997,65.9,118.1,24.799999999999997,3.7,4.5,0.0,2.5,-12.5,-4.5,7
24,2024-05-04,100 Thieves,NRG Esports,1.242,229.8,34.6,24.2,12.8,83.0,145.8,28.0,4.6,3.6,13.0,2.0,5.0,-1.0,0.74,177.4,24.2,34.6,10.6,65.8,114.6,26.2,3.6,4.6,-5.0,1.0,-17.0,-4.0,0,1.116,214.6,38.8,33.599999999999994,15.0,78.80000000000001,140.3,26.4,5.2,5.2,14.5,4.5,-9.5,-3.5,0.907,184.2,33.599999999999994,38.8,15.499999999999996,66.3,124.19999999999999,26.299999999999997,5.2,5.2,3.0,4.0,-11.5,-3.0,11
25,2024-05-08,100 Thieves,LOUD,1.206,221.2,29.2,20.4,9.8,80.4,144.6,27.4,4.8,2.4,32.0,6.0,-8.0,0.0,0.784,167.0,20.4,29.2,9.0,63.4,107.4,24.6,2.4,4.8,-1.0,2.0,-18.0,-7.0,0,1.0990000000000002,213.7,39.599999999999994,35.0,14.100000000000001,77.7,137.3,28.0,5.3,5.3,12.5,3.0,-6.5,-3.0,0.896,189.8,35.0,39.599999999999994,15.499999999999996,69.0,124.39999999999999,27.2,5.3,5.3,1.5,3.5,-11.5,-3.5,8
26,2024-05-09,100 Thieves,Leviatán,1.074,211.6,48.6,43.0,16.2,71.2,135.4,28.0,5.8,7.2,16.0,3.0,-7.0,-11.0,0.9259999999999999,190.6,43.0,48.6,21.4,70.4,128.2,27.8,7.2,5.8,6.0,8.0,-20.0,-2.0,0,1.2240000000000002,225.5,31.9,22.299999999999997,11.3,81.7,145.20000000000002,27.7,4.699999999999999,3.0,22.5,4.0,-1.5,-0.5,0.762,172.2,22.299999999999997,31.9,9.799999999999997,64.6,111.0,25.4,3.0,4.699999999999999,-3.0,1.5,-17.5,-5.5,9
27,2024-05-10,100 Thieves,G2 Esports,1.102,207.8,46.2,39.8,24.0,76.0,134.4,23.2,7.0,5.6,23.0,8.0,-8.0,-1.0,0.944,185.4,39.8,46.2,20.4,65.2,123.2,24.4,5.6,7.0,9.0,5.0,-27.0,-5.0,0,1.1400000000000001,216.39999999999998,38.89999999999999,31.699999999999996,13.0,75.80000000000001,140.0,27.7,5.3,4.8,24.0,4.5,-7.5,-5.5,0.855,178.8,31.699999999999996,38.89999999999999,15.199999999999996,66.9,117.8,26.200000000000003,4.8,5.3,2.5,5.0,-19.0,-4.5,5
28,2024-05-12,100 Thieves,G2 Esports,1.1320000000000001,213.0,48.6,40.2,16.4,77.4,141.2,31.4,7.2,5.4,20.0,6.0,0.0,-4.0,0.8539999999999999,185.2,40.2,48.6,16.0,70.2,125.0,29.4,5.4,7.2,-1.0,2.0,-18.0,-5.0,0,1.088,209.7,47.39999999999999,41.39999999999999,20.1,73.6,134.90000000000003,25.6,6.4,6.4,19.5,5.5,-7.5,-6.0,0.9349999999999999,188.0,41.39999999999999,47.39999999999999,20.899999999999995,67.8,125.69999999999999,26.1,6.4,6.4,7.5,6.5,-23.5,-3.5,5
29,2024-06-23,100 Thieves,FURIA,0.974,203.0,39.2,41.6,17.4,73.0,137.4,28.8,6.4,4.8,-1.0,5.0,-5.0,-1.0,1.058,212.4,41.6,39.2,17.8,75.8,138.4,29.6,4.8,6.4,21.0,1.0,-10.0,-4.0,1,1.1170000000000002,210.4,47.4,40.0,20.2,76.7,137.8,27.299999999999997,7.1,5.5,21.5,7.0,-4.0,-2.5,0.8989999999999999,185.3,40.0,47.4,18.199999999999996,67.69999999999999,124.1,26.9,5.5,7.1,4.0,3.5,-22.5,-5.0,3
30,2024-06-30,100 Thieves,Leviatán,0.826,178.0,24.0,31.0,13.6,66.8,119.0,30.6,3.0,5.0,0.0,2.0,-13.0,-6.0,1.2200000000000002,215.0,31.0,24.0,15.4,76.0,136.6,24.8,5.0,3.0,16.0,7.0,-7.0,-1.0,1,1.0530000000000002,208.0,43.9,40.9,16.9,75.2,139.3,30.1,6.800000000000001,5.1000000000000005,9.5,5.5,-2.5,-2.5,0.956,198.8,40.9,43.9,16.9,73.0,131.70000000000002,29.5,5.1000000000000005,6.800000000000001,10.0,1.5,-14.0,-4.5,9
31,2021-10-29,Cloud9,Gen.G,1.1119999999999999,218.6,47.8,42.2,21.4,76.8,138.0,20.8,6.4,6.2,12.0,4.0,-3.0,-3.0,0.8800000000000001,188.4,42.2,47.8,15.2,68.6,130.6,23.8,6.2,6.4,0.0,4.0,-10.0,-6.0,0,1.045,206.1,38.9,39.2,19.2,71.69999999999999,139.2,19.700000000000003,5.2,5.8,7.5,5.0,-9.0,-4.5,0.98,202.8,39.2,38.9,15.5,70.9,132.8,21.2,5.8,5.2,16.5,7.0,-10.0,-4.0,6
32,2021-10-30,Cloud9,XSET,1.0959999999999999,211.2,33.6,29.6,13.8,74.2,138.0,20.6,3.8,5.4,7.0,1.0,0.0,-4.0,0.922,185.2,29.4,33.6,12.2,69.8,126.6,22.0,5.4,3.8,3.0,7.0,-9.0,-2.0,0,1.028,207.89999999999998,47.7,47.2,22.6,72.69999999999999,135.7,20.8,6.300000000000001,7.0,6.5,4.5,-6.5,-4.5,0.9810000000000001,200.60000000000002,47.2,47.7,18.299999999999997,71.1,134.0,22.4,7.0,6.300000000000001,13.0,5.0,-10.5,-4.0,16
33,2021-10-30,Cloud9,100 Thieves,1.078,214.4,49.4,43.6,19.4,75.0,141.2,19.4,7.8,5.4,21.0,7.0,-1.0,-2.0,0.9359999999999999,193.4,43.6,49.4,17.8,68.6,134.6,24.4,5.4,7.8,11.0,3.0,-19.0,-6.0,0,1.1039999999999999,214.89999999999998,40.7,35.900000000000006,17.6,75.5,138.0,20.700000000000003,5.1,5.800000000000001,9.5,2.5,-1.5,-3.5,0.901,186.8,35.8,40.7,13.7,69.19999999999999,128.6,22.9,5.800000000000001,5.1,1.5,5.5,-9.5,-4.0,0
34,2021-10-31,Cloud9,Rise,1.252,219.4,44.2,34.6,17.0,77.2,142.2,19.8,6.8,4.8,23.0,7.0,-10.0,-3.0,0.732,168.6,34.6,44.2,11.2,64.0,118.2,25.4,4.8,6.8,-5.0,1.0,-22.0,-4.0,0,1.087,212.8,41.5,36.6,16.6,74.6,139.6,20.0,5.8,5.4,14.0,4.0,-0.5,-3.0,0.929,189.3,36.5,41.5,15.0,69.19999999999999,130.6,23.2,5.4,5.8,7.0,5.0,-14.0,-4.0,12
35,2022-08-05,Cloud9,Shopify Rebellion,1.1019999999999999,219.6,41.0,36.6,21.4,77.4,135.8,20.0,5.8,5.2,13.0,3.0,-5.0,-1.0,0.95,195.6,36.6,41.0,17.4,67.4,126.8,27.0,5.2,5.8,13.0,8.0,-16.0,-6.0,0,1.165,216.9,46.800000000000004,39.1,18.200000000000003,76.1,141.7,19.6,7.3,5.1,22.0,7.0,-5.5,-2.5,0.834,181.0,39.1,46.800000000000004,14.5,66.3,126.4,24.9,5.1,7.3,3.0,2.0,-20.5,-5.0,14
36,2022-08-06,Cloud9,The Guard,0.9480000000000001,188.0,29.4,32.0,13.8,73.0,120.2,18.4,4.6,4.6,7.0,4.0,-10.0,-3.0,1.05,200.8,32.0,29.4,11.8,71.8,126.8,26.8,4.6,4.6,9.0,3.0,-2.0,-4.0,1,1.177,219.5,42.60000000000001,35.6,19.200000000000003,77.30000000000001,139.0,19.9,6.3,5.0,18.0,5.0,-7.5,-2.0,0.841,182.1,35.6,42.60000000000001,14.299999999999999,65.7,122.5,26.2,5.0,6.3,4.0,4.5,-19.0,-5.0,15
37,2022-08-11,Cloud9,NRG Esports,1.1320000000000001,220.0,32.0,27.8,13.6,73.6,146.8,21.2,4.0,4.2,11.0,1.0,-4.0,-3.0,0.8939999999999999,198.8,27.8,32.0,11.4,71.2,132.2,27.8,4.2,4.0,-1.0,8.0,-7.0,-4.0,0,1.025,203.8,35.2,34.3,17.6,75.2,128.0,19.2,5.199999999999999,4.9,10.0,3.5,-7.5,-2.0,1.0,198.2,34.3,35.2,14.6,69.6,126.8,26.9,4.9,5.199999999999999,11.0,5.5,-9.0,-5.0,11
